Actinium,Ac,89
Aluminium,Al,13
Americium,Am,95
Antimon(Stibium),Sb,51
Argon,Ar,18
Arsen,As,33
Astat,At,85
Barium,Ba,56
Berkelium,Bk,97
Beryllium,Be,4
Bismut(Wismut),Bi,83
Blei(Plumbum),Pb,82
Bohrium,Bh,107
Bor,B,5
Brom,Br,35
Cadmium,Cd,48
Caesium,Cs,55
Calcium,Ca,20
Californium,Cf,98
Cer,Ce,58
Chlor,Cl,17
Chrom,Cr,24
Cobalt,Co,27
Copernicium,Cn,112
Curium,Cm,96
Darmstadtium,Ds,110
Dubnium,Db,105
Dysprosium,Dy,66
Einsteinium,Es,99
Eisen(Ferrum),Fe,26
Erbium,Er,68
Europium,Eu,63
Fermium,Fm,100
Flerovium,Fl,114
Fluor,F,9
Francium,Fr,87
Gadolinium,Gd,64
Gallium,Ga,31
Germanium,Ge,32
Gold(Aurum),Au,79
Hafnium,Hf,72
Hassium,Hs,108
Helium,He,2
Holmium,Ho,67
Indium,In,49
Iod,I,53
Iridium,Ir,77
Kalium,K,19
Kohlenstoff(Carbon),C,6
Krypton,Kr,36
Kupfer(Cuprum),Cu,29
Lanthan,La,57
Lawrencium,Lr,103
Lithium,Li,3
Livermorium,Lv,116
Lutetium,Lu,71
Magnesium,Mg,12
Mangan,Mn,25
Meitnerium,Mt,109
Mendelevium,Md,101
Molybdän,Mo,42
Natrium,Na,11
Neodym,Nd,60
Neon,Ne,10
Neptunium,Np,93
Nickel,Ni,28
Niob,Nb,41
Nobelium,No,102
Osmium,Os,76
Palladium,Pd,46
Phosphor,P,15
Platin,Pt,78
Plutonium,Pu,94
Polonium,Po,84
Praseodym,Pr,59
Promethium,Pm,61
Protactinium,Pa,91
Quecksilber(Hydrargyrum),Hg,80
Radium,Ra,88
Radon,Rn,86
Rhenium,Re,75
Rhodium,Rh,45
Roentgenium,Rg,111
Rubidium,Rb,37
Ruthenium,Ru,44
Rutherfordium,Rf,104
Samarium,Sm,62
Sauerstoff(Oxygenium),O,8
Scandium,Sc,21
Schwefel(Sulfur),S,16
Seaborgium,Sg,106
Selen,Se,34
Silber(Argentum),Ag,47
Silicium,Si,14
Stickstoff(Nitrogenium),N,7
Strontium,Sr,38
Tantal,Ta,73
Technetium,Tc,43
Tellur,Te,52
Terbium,Tb,65
Thallium,Tl,81
Thorium,Th,90
Thulium,Tm,69
Titan,Ti,22
Ununoctium,Uuo,118
Ununpentium,Uup,115
Ununseptium,Uus,117
Ununtrium,Uut,113
Uran,U,92
Vanadium,V,23
Wasserstoff,H,1
Wolfram,W,74
Xenon,Xe,54
Ytterbium,Yb,70
Yttrium,Y,39
Zink,Zn,30
Zinn(Stannum),Sn,50
Zirconium,Zr,40
